month,total_visitors,total_sessions,total_conversion
2019-01,34,196,0.0051
2019-02,59,195,0.00512
2019-03,440,685,0.00729
2019-04,592,765,0.01437
2019-05,382,463,0.01727
2019-06,458,582,0.02233
2019-07,442,544,0.02757
2019-08,694,813,0.02337
2019-09,407,503,0.01988
2019-10,411,475,0.04631
2019-11,370,428,0.02803
2019-12,399,464,0.04525
2020-01,317,355,0.04225
2020-02,251,315,0.02857
2020-03,1371,1593,0.0182
2020-04,3102,3954,0.03009
2020-05,1732,2268,0.0432
2020-06,1007,1334,0.04872
2020-07,1043,1434,0.04811
2020-08,1258,1712,0.05899
2020-09,2308,3214,0.07685
2020-10,1393,1983,0.0479
2020-11,1440,2018,0.10059
2020-12,1529,2066,0.05275
2021-01,1307,1833,0.04037
2021-02,1092,1521,0.05719
2021-03,1295,1761,0.0511
2021-04,2059,3025,0.0628
2021-05,1230,2015,0.02729
2021-06,1572,2306,0.06157
2021-07,1274,1861,0.08812
2021-08,1386,1937,0.07589
2021-09,1092,1487,0.08742
2021-10,1298,1922,0.09417
2021-11,1127,1608,0.07835
2021-12,954,1290,0.06666
2022-01,1409,1952,0.06096
2022-02,1309,1792,0.05803
2022-03,1209,1671,0.0754
2022-04,1052,1449,0.0697
2022-05,1074,1436,0.10167
2022-06,848,1108,0.04332
2022-07,1125,1604,0.0773
2022-08,1104,1538,0.09167
2022-09,730,978,0.06646
2022-10,799,1016,0.07185
2022-11,735,1026,0.10916
2022-12,827,1284,0.07866
2023-01,549,816,0.06004
2023-02,519,773,0.04527
2023-03,396,578,0.01903
2023-04,365,550,0.10363
2023-05,586,742,0.0566
